image,boat_count,detected_image,boat_coordinates,
AXISQ6074EPTZACCC8EACA584_20231016T031001.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20230917T064501.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20230919T115501.000Z.jpg,1,View Image,"(1072.0, 45.0)",
AXISQ6074EPTZACCC8EACA584_20230927T104501.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20230921T120501.000Z.jpg,1,View Image,"(1072.0, 45.0)",
AXISQ6074EPTZACCC8EACA584_20230909T101501.000Z.jpg,2,View Image,"(1121.0, 50.0); (1122.0, 91.0)",
AXISQ6074EPTZACCC8EACA584_20231019T063001.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20230909T115501.000Z.jpg,2,View Image,"(1035.0, 50.0); (1113.0, 48.0)",
AXISQ6074EPTZACCC8EACA584_20231004T044001.000Z.jpg,1,View Image,"(1072.0, 45.0)",
AXISQ6074EPTZACCC8EACA584_20230909T091501.000Z.jpg,2,View Image,"(1098.0, 49.0); (1098.0, 72.0)",
AXISQ6074EPTZACCC8EACA584_20230908T124502.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20231015T075001.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20231017T030001.000Z.jpg,1,View Image,"(1072.0, 45.0)",
AXISQ6074EPTZACCC8EACA584_20231018T105001.000Z.jpg,1,View Image,"(1072.0, 45.0)",
AXISQ6074EPTZACCC8EACA584_20230917T083001.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20230909T090001.000Z.jpg,1,View Image,"(1080.0, 49.0)",
AXISQ6074EPTZACCC8EACA584_20231017T062501.000Z.jpg,1,View Image,"(1072.0, 45.0)",
AXISQ6074EPTZACCC8EACA584_20230911T080501.000Z.jpg,1,View Image,"(1072.0, 45.0)",
